Step,method1,method2,method3,method4,method5,method6,method7,method8,method9,method10,method11,method12,method13,method14,method15,method16,method17,method18
3006,0.34835,0.3442,0.3525,0.303,0.2815,0.3245,0.349,0.349,0.349,0.007466667,0.0063,0.0098,0.3672,0.3672,0.3672,0.3544,0.3544,0.3544
3010,0.3496,0.348,0.3512,0.3025,0.2818,0.3232,0.3522,0.3522,0.3522,0.007733333,0.0072,0.008,0.3649,0.3649,0.3649,0.3562,0.3562,0.3562
3014,0.33645,0.3322,0.3407,0.3019,0.2787,0.3251,0.3372,0.3372,0.3372,0.0077,0.0035,0.0098,0.3636,0.3636,0.3636,0.3543,0.3543,0.3543
3018,0.3354,0.3306,0.3402,0.2991,0.2758,0.3224,0.3304,0.3304,0.3304,0.006333333,0.0063,0.0064,0.353,0.353,0.353,0.3523,0.3523,0.3523
3022,0.34515,0.342,0.3483,0.2981,0.2762,0.32,0.3417,0.3417,0.3417,0.0128,0.0126,0.0129,0.3565,0.3565,0.3565,0.3567,0.3567,0.3567
3026,0.34605,0.3428,0.3493,0.29835,0.2766,0.3201,0.3493,0.3493,0.3493,0.012466667,0.008,0.0147,0.3565,0.3565,0.3565,0.3591,0.3591,0.3591
3030,0.35285,0.3508,0.3549,0.2996,0.2794,0.3198,0.3472,0.3472,0.3472,0.011733333,0.0108,0.0122,0.3554,0.3554,0.3554,0.3557,0.3557,0.3557
3034,0.3533,0.3502,0.3564,0.2942,0.2744,0.314,0.3485,0.3485,0.3485,0.006733333,0.0063,0.0076,0.3606,0.3606,0.3606,0.3553,0.3553,0.3553
3038,0.34905,0.3453,0.3528,0.30185,0.279,0.3247,0.353,0.353,0.353,0.010966667,0.0109,0.0111,0.3648,0.3648,0.3648,0.3562,0.3562,0.3562
3042,0.3445,0.3398,0.3492,0.29625,0.2774,0.3151,0.3521,0.3521,0.3521,0.009,0.0081,0.0108,0.3631,0.3631,0.3631,0.3549,0.3549,0.3549
3046,0.35125,0.3478,0.3547,0.29875,0.2795,0.318,0.3463,0.3463,0.3463,0.009466667,0.0094,0.0096,0.3703,0.3703,0.3703,0.3579,0.3579,0.3579
3050,0.35085,0.3484,0.3533,0.3025,0.2811,0.3239,0.3362,0.3362,0.3362,0.009733333,0.0076,0.014,0.3674,0.3674,0.3674,0.3563,0.3563,0.3563
3054,0.35195,0.3484,0.3555,0.29845,0.2794,0.3175,0.3522,0.3522,0.3522,0.012933333,0.0129,0.013,0.3674,0.3674,0.3674,0.3613,0.3613,0.3613
3058,0.3525,0.3484,0.3566,0.29915,0.2788,0.3195,0.3414,0.3414,0.3414,0.0096,0.0074,0.0107,0.3651,0.3651,0.3651,0.3572,0.3572,0.3572
3062,0.3554,0.355,0.3558,0.3033,0.2817,0.3249,0.3354,0.3354,0.3354,0.0098,0.0093,0.0108,0.3652,0.3652,0.3652,0.3582,0.3582,0.3582
3066,0.35345,0.3496,0.3573,0.3048,0.2809,0.3287,0.348,0.348,0.348,0.0117,0.0113,0.0119,0.3636,0.3636,0.3636,0.3602,0.3602,0.3602
3070,0.34535,0.3376,0.3531,0.3008,0.2777,0.3239,0.3517,0.3517,0.3517,0.010533333,0.0105,0.0106,0.3604,0.3604,0.3604,0.3611,0.3611,0.3611
3074,0.345,0.3384,0.3516,0.29915,0.2775,0.3208,0.3514,0.3514,0.3514,0.011633333,0.011,0.0129,0.3604,0.3604,0.3604,0.3619,0.3619,0.3619
3078,0.34785,0.3447,0.351,0.3003,0.2806,0.32,0.3465,0.3465,0.3465,0.0132,0.0131,0.0134,0.3543,0.3543,0.3543,0.3598,0.3598,0.3598
3082,0.351,0.3419,0.3601,0.29985,0.2803,0.3194,0.3437,0.3437,0.3437,0.0085,0.0065,0.0095,0.3563,0.3563,0.3563,0.3587,0.3587,0.3587
3086,0.36195,0.3537,0.3702,0.3047,0.2841,0.3253,0.3448,0.3448,0.3448,0.010933333,0.0108,0.0112,0.3624,0.3624,0.3624,0.3548,0.3548,0.3548
3090,0.3484,0.3424,0.3544,0.29305,0.2756,0.3105,0.3427,0.3427,0.3427,0.0059,0.0059,0.0059,0.3614,0.3614,0.3614,0.3557,0.3557,0.3557
3094,0.34655,0.3457,0.3474,0.29975,0.2775,0.322,0.3426,0.3426,0.3426,0.011166667,0.0094,0.0147,0.3615,0.3615,0.3615,0.3579,0.3579,0.3579
3098,0.348,0.3426,0.3534,0.29935,0.2782,0.3205,0.3535,0.3535,0.3535,0.006533333,0.0052,0.0072,0.3623,0.3623,0.3623,0.3573,0.3573,0.3573
3102,0.35215,0.3521,0.3522,0.30525,0.2837,0.3268,0.3562,0.3562,0.3562,0.0135,0.0135,0.0135,0.3604,0.3604,0.3604,0.3521,0.3521,0.3521
3106,0.3551,0.3534,0.3568,0.3053,0.2864,0.3242,0.3549,0.3549,0.3549,0.010166667,0.0095,0.0105,0.3614,0.3614,0.3614,0.3597,0.3597,0.3597
3110,0.3483,0.3438,0.3528,0.3035,0.285,0.322,0.3509,0.3509,0.3509,0.010266667,0.0094,0.0107,0.359,0.359,0.359,0.3576,0.3576,0.3576
3114,0.34865,0.3468,0.3505,0.303,0.2835,0.3225,0.3505,0.3505,0.3505,0.012433333,0.0119,0.0135,0.3578,0.3578,0.3578,0.3584,0.3584,0.3584
3118,0.3487,0.3452,0.3522,0.30105,0.2772,0.3249,0.3396,0.3396,0.3396,0.006233333,0.0062,0.0063,0.3583,0.3583,0.3583,0.3591,0.3591,0.3591
3122,0.3526,0.3484,0.3568,0.3059,0.2882,0.3236,0.3402,0.3402,0.3402,0.011633333,0.0116,0.0117,0.3653,0.3653,0.3653,0.3578,0.3578,0.3578
3126,0.3534,0.3517,0.3551,0.30225,0.2812,0.3233,0.3475,0.3475,0.3475,0.010766667,0.0095,0.0133,0.3666,0.3666,0.3666,0.3646,0.3646,0.3646
3130,0.35015,0.3491,0.3512,0.30205,0.2812,0.3229,0.3499,0.3499,0.3499,0.0052,0.0036,0.006,0.3658,0.3658,0.3658,0.3579,0.3579,0.3579
3134,0.348,0.3454,0.3506,0.3012,0.2827,0.3197,0.3464,0.3464,0.3464,0.007466667,0.0074,0.0076,0.363,0.363,0.363,0.3565,0.3565,0.3565
3138,0.35355,0.3517,0.3554,0.30235,0.2795,0.3252,0.3408,0.3408,0.3408,0.0082,0.0073,0.01,0.3643,0.3643,0.3643,0.3562,0.3562,0.3562
3142,0.35395,0.3513,0.3566,0.30305,0.2808,0.3253,0.3443,0.3443,0.3443,0.009233333,0.0091,0.0093,0.3667,0.3667,0.3667,0.3602,0.3602,0.3602
3146,0.35315,0.3527,0.3536,0.30295,0.2841,0.3218,0.3472,0.3472,0.3472,0.010833333,0.0108,0.0109,0.3648,0.3648,0.3648,0.3592,0.3592,0.3592
3150,0.3567,0.3557,0.3577,0.30735,0.2858,0.3289,0.3514,0.3514,0.3514,0.010866667,0.0095,0.0136,0.365,0.365,0.365,0.3574,0.3574,0.3574
3154,0.35415,0.3516,0.3567,0.3029,0.283,0.3228,0.3517,0.3517,0.3517,0.013566667,0.0133,0.0137,0.3647,0.3647,0.3647,0.3585,0.3585,0.3585
3158,0.35095,0.3491,0.3528,0.3033,0.2813,0.3253,0.3448,0.3448,0.3448,0.005966667,0.0059,0.0061,0.362,0.362,0.362,0.3555,0.3555,0.3555
3162,0.35355,0.3525,0.3546,0.30435,0.2791,0.3296,0.3416,0.3416,0.3416,0.007166667,0.0055,0.008,0.3628,0.3628,0.3628,0.3566,0.3566,0.3566
3166,0.35275,0.35,0.3555,0.3043,0.2839,0.3247,0.3422,0.3422,0.3422,0.010066667,0.0095,0.0112,0.3666,0.3666,0.3666,0.3584,0.3584,0.3584
3170,0.3495,0.3443,0.3547,0.30375,0.2833,0.3242,0.3458,0.3458,0.3458,0.010366667,0.0103,0.0104,0.3661,0.3661,0.3661,0.3549,0.3549,0.3549
3174,0.35175,0.3438,0.3597,0.3021,0.2806,0.3236,0.3519,0.3519,0.3519,0.009933333,0.009,0.0118,0.3651,0.3651,0.3651,0.3538,0.3538,0.3538
3178,0.35425,0.3517,0.3568,0.3014,0.2783,0.3245,0.3575,0.3575,0.3575,0.010966667,0.0109,0.0111,0.3662,0.3662,0.3662,0.3578,0.3578,0.3578
3182,0.35355,0.3528,0.3543,0.30475,0.2807,0.3288,0.3499,0.3499,0.3499,0.009766667,0.0097,0.0099,0.3642,0.3642,0.3642,0.3581,0.3581,0.3581
3186,0.35555,0.3552,0.3559,0.3018,0.2798,0.3238,0.3457,0.3457,0.3457,0.007433333,0.0074,0.0075,0.3644,0.3644,0.3644,0.3574,0.3574,0.3574
3190,0.35385,0.3534,0.3543,0.30375,0.281,0.3265,0.3472,0.3472,0.3472,0.012733333,0.0088,0.0147,0.3646,0.3646,0.3646,0.3586,0.3586,0.3586
3194,0.35425,0.3505,0.358,0.3003,0.2801,0.3205,0.3434,0.3434,0.3434,0.007133333,0.0062,0.0076,0.363,0.363,0.363,0.3612,0.3612,0.3612
3198,0.35385,0.3514,0.3563,0.30305,0.2815,0.3246,0.3483,0.3483,0.3483,0.0093,0.008,0.0119,0.3669,0.3669,0.3669,0.3618,0.3618,0.3618
3202,0.3576,0.3545,0.3607,0.30105,0.2809,0.3212,0.3524,0.3524,0.3524,0.010833333,0.0108,0.0109,0.3673,0.3673,0.3673,0.3598,0.3598,0.3598
